name,genre,prefecture,city,area,address,taste,scenes,features,url
いちゃりば,和食・日本料理,大阪府,大阪市,ベイエリア,大阪府大阪市大正区三軒家東1-9-12,0,,美味しいらしい,https://tabelog.com/osaka/A2701/A270401/27002656/
やまと,和食・日本料理,大阪府,八尾市,八尾市,大阪府八尾市久宝寺１丁目２−５,0,,美味い,https://tabelog.com/osaka/A2707/A270705/27016167/
中央市場 ゑんどう,寿司・海鮮,大阪府,大阪市,梅田・北新地・中之島,大阪市福島区野田1-1-86 大阪市中央卸売市場本場,4,,5貫1300円、口の中でとろける,https://tabelog.com/osaka/A2701/A270108/27002698/
しっとう屋,寿司・海鮮,大阪府,河内長野市,河内長野市,大阪府河内長野市楠丘27-30,0,,寿司食べ放題,http://www.shittouya.net/
ウッドペッカー カフェダイニング,カフェ・スイーツ,兵庫県,西宮市,西宮市,兵庫県西宮市中屋町9-4,0,,,https://tabelog.com/hyogo/A2803/A280301/28043809/
鮨処 音羽 京都祇園店,寿司・海鮮,京都府,京都市,東山区,京都府京都市東山区四条大和大路通り四条上常磐町151,0,,美味い,https://tabelog.com/kyoto/A2601/A260301/26003604/
回転すし さかえ 阪急東通り店,寿司・海鮮,大阪府,大阪市,梅田・北新地・中之島,大阪府大阪市北区堂山町3-12 玄風ビル　１Ｆ,4,,安い、美味い,https://tabelog.com/osaka/A2701/A270101/27002305/
個室 均一居酒屋 イチかバチか なんば店,居酒屋・ダイニングバー,兵庫県,伊丹市,伊丹市,兵庫県伊丹市北本町2-190,3,,とにかく安い、飲み会用,https://tabelog.com/osaka/A2701/A270202/27097093/
花様 阪急梅田,和食・日本料理,大阪府,大阪市,梅田・北新地・中之島,大阪府大阪市北区芝田１-7-2かっぱ横丁2階,4,,ランチ野菜食べ放題、自然食,https://tabelog.com/osaka/A2701/A270101/27074425/
花様 西梅田,和食・日本料理,大阪府,大阪市,梅田・北新地・中之島,大阪府大阪市北区堂島2-1-18 堂島NSビル 1F,0,,,https://tabelog.com/osaka/A2701/A270101/27076244/
花様 ka‐you 天王寺ミオ,和食・日本料理,大阪府,大阪市,天王寺・阿倍野,大阪府大阪市天王寺区悲田院町10-39 天王寺MIO11F,0,,,https://k447411.gorp.jp/
ムレスナティーハウス 神戸阪急店,カフェ・スイーツ,兵庫県,神戸市,中央区,兵庫県神戸市中央区小野柄通8-1-8 神戸阪急 本館 3F,0,,,https://tabelog.com/hyogo/A2801/A280101/28067879/
花様 ka‐you 京橋京阪モール,和食・日本料理,大阪府,大阪市,京橋・鶴橋,大阪府大阪市都島区東野田町2-1-38 京阪モールホテル館6F,0,,,https://r.gnavi.co.jp/g5mzmaam0000/
はなまる串カツ製作所 大宮店,居酒屋・ダイニングバー,京都府,京都市,中京区,京都府京都市中京区壬生坊城町3-3,4,,,https://tabelog.com/kyoto/A2601/A260203/26018240/
源兵衛 なんば店,焼肉・ホルモン,大阪府,大阪市,心斎橋・難波・道頓堀,大阪府大阪市中央区難波千日前7-15,5,,ランチ、肉、めちゃ美味い,https://tabelog.com/osaka/A2701/A270202/27108460/
源兵衛 天王寺あべの店,焼肉・ホルモン,大阪府,大阪市,天王寺・阿倍野,大阪府大阪市阿倍野区阿倍野筋2-4-45,5,,ランチ、肉、めちゃ美味い,https://tabelog.com/osaka/A2701/A270203/27102430/
cafe はたち,カフェ・スイーツ,大阪府,堺市,美原区,大阪府堺市美原区黒山480-5,0,,サンドイッチ、卵がだし巻きの様で美味しい,https://s.tabelog.com/osaka/A2705/A270501/27062396/top_amp/
源兵衛 天満本店,焼肉・ホルモン,大阪府,大阪市,梅田・北新地・中之島,大阪府大阪市北区同心2-13-6,5,,ランチ、肉、めちゃ美味い,https://tabelog.com/osaka/A2701/A270103/27073028/
一本槍,和食・日本料理,京都府,京都市,伏見区,京都府京都市伏見区深草西浦町7-76,0,,美味い,https://tabelog.com/kyoto/A2601/A260601/26003928/
ラヴニュー,カフェ・スイーツ,兵庫県,神戸市,中央区,兵庫県神戸市中央区山本通3-7-3 ユートピア・トーア1F,0,デート,スイーツ食べログ百名店,https://tabelog.com/hyogo/A2801/A280102/28033447/
喰ま呑み,居酒屋・ダイニングバー,大阪府,堺市,堺区,大阪府堺市堺区甲斐町東1-1-18,0,,美味い,https://tabelog.com/osaka/A2705/A270501/27089691/
味穂,居酒屋・ダイニングバー,大阪府,大阪市,心斎橋・難波・道頓堀,大阪府大阪市中央区西心斎橋2-8-33 センタービル　１Ｆ,0,,美味い、梯子酒に良い,https://tabelog.com/osaka/A2701/A270202/27003566/
焼鳥屋五八,焼き鳥・鳥料理,大阪府,大阪市,心斎橋・難波・道頓堀,大阪府大阪市中央区東心斎橋1-15-1 ふぁみーゆ東心斎橋ビル２Ｆ 2F,5,,勝手に出てくる、タバコ禁止、コスパ,https://tabelog.com/osaka/A2701/A270201/27071404/
むかいの 五八,焼き鳥・鳥料理,大阪府,大阪市,心斎橋・難波・道頓堀,大阪府大阪市中央区東心斎橋1-6-23 清水町会館 3F,0,,上の五八の姉妹店、こっちの方が行きやすい,https://tabelog.com/osaka/A2701/A270201/27120613/
THE焼鳥 祝い鳥,焼き鳥・鳥料理,大阪府,大阪市,心斎橋・難波・道頓堀,大阪府大阪市中央区東心斎橋2-8-12 ゴールドセンタービル1Ｆ,4,,世界のつくね、卵かけごはん,https://tabelog.com/osaka/A2701/A270201/27087964/
一十,和食・日本料理,大阪府,大阪市,梅田・北新地・中之島,大阪府大阪市福島区福島8-17-5,4,,おしゃれ、カウンター,https://tabelog.com/osaka/A2701/A270108/27085273/
骨付き鶏　鶴,焼き鳥・鳥料理,大阪府,大阪市,梅田・北新地・中之島,大阪府大阪市北区曽根崎新地1-3-26　ぐらんぱれ4F,4,,美味しい,https://www.ikkaku.co.jp/nishiumeda/menu.html
鳥玖,焼き鳥・鳥料理,大阪府,大阪市,心斎橋・難波・道頓堀,大阪府大阪市浪速区元町１丁目２−２２ 明星荘 1階,0,,安くて美味い,https://tabelog.com/osaka/A2701/A270202/27098078/
和レー屋 南船場ゴヤクラ,カレー,大阪府,大阪市,心斎橋・難波・道頓堀,大阪市中央区南船場1-7-8 ダイアパレス順慶町 103,4,,辛旨カレー,https://tabelog.com/osaka/A2701/A270201/27015562/
凡僧,焼き鳥・鳥料理,大阪府,大阪市,新大阪・十三,大阪府大阪市東淀川区小松１丁目１−２,0,,美味い　ソリレスおすすめ,https://tabelog.com/osaka/A2701/A270307/27012974/
一本松,焼き鳥・鳥料理,大阪府,大阪市,梅田・北新地・中之島,大阪府大阪市福島区福島5-14-10,0,,美味い,https://tabelog.com/osaka/A2701/A270108/27001179/
鳥一,焼き鳥・鳥料理,大阪府,大阪市,心斎橋・難波・道頓堀,大阪府大阪市中央区東心斎橋2-3-21 大阪屋玉屋町会館 1Ｆ,0,,美味い,https://tabelog.com/osaka/A2701/A270202/27022238/
中央軒 本店,中華料理,大阪府,大阪市,心斎橋・難波・道頓堀,大阪府大阪市中央区難波4-2-11,0,,美味い　結構どこにでもある,https://tabelog.com/osaka/A2701/A270202/27002577/
鳥せい,焼き鳥・鳥料理,京都府,京都市,伏見区,京都府京都市伏見区上油掛町186,0,,美味い、横で水が汲める,https://tabelog.com/kyoto/A2601/A260601/26001213/
とりやき大福,焼き鳥・鳥料理,大阪府,堺市,北区,大阪府堺市北区金岡町１４１９−１０,0,,美味い,https://toriyaki-daifuku.com/
銀ちゃん,お好み焼き・粉もん,大阪府,大阪市,大阪市南部,大阪府大阪市平野区背戸口１丁目２２−２８,0,,美味い、愛想はそんなよくない,https://tabelog.com/osaka/A2701/A270405/27018771/
焼鳥 金ちゃん 長居店,焼き鳥・鳥料理,大阪府,大阪市,大阪市南部,大阪府大阪市住吉区長居西1-11-38,0,,美味い,https://tabelog.com/osaka/A2701/A270404/27126366/
イルカ,寿司・海鮮,大阪府,泉佐野市,泉佐野市,大阪府泉佐野市新町2-5187-101,4,,漁港、ランチ1000円,https://tabelog.com/osaka/A2705/A270503/27030720/
天ぷら　たまき,和食・日本料理,兵庫県,西宮市,西宮市,兵庫県西宮市甲子園口2丁目3-31-1階,5,,天ぷらが美味い、漬物も絶品,http://tempuratamaki.her.jp/index.html
インデアンカレー 南店,カレー,大阪府,大阪市,心斎橋・難波・道頓堀,大阪府大阪市中央区難波1-5-20,0,,美味い　結構どこにでもある,https://tabelog.com/osaka/A2701/A270202/27004448/
相撲茶屋寺尾,鍋（しゃぶしゃぶ・もつ鍋等）,大阪府,大阪市,梅田・北新地・中之島,大阪府大阪市北区梅田2-4-6 １Ｆ,0,,美味い,https://tabelog.com/osaka/A2701/A270101/27044891/
餃子鍋　A-chan　北新地,鍋（しゃぶしゃぶ・もつ鍋等）,大阪府,大阪市,梅田・北新地・中之島,大阪府大阪市北区曽根崎新地1-2-1 ２F,4,,餃子鍋の人気店,https://tabelog.com/osaka/A2701/A270101/27049155/
鳥名子 福知山本店,鍋（しゃぶしゃぶ・もつ鍋等）,京都府,福知山市,福知山市,京都府福知山市中ノ２３３−１１,0,,美味い,torinago.com
丹波篠山 猪料理専門店　奥栄,鍋（しゃぶしゃぶ・もつ鍋等）,兵庫県,丹波篠山市,丹波篠山市,兵庫県丹波篠山市藤岡奥492-5,0,,美味い　雰囲気良い,https://www.okuei.com/
てっちゃん鍋 やすもり 尼崎本店,鍋（しゃぶしゃぶ・もつ鍋等）,兵庫県,尼崎市,尼崎市,兵庫県尼崎市神田中通3-85,0,,美味い　安い,https://tabelog.com/hyogo/A2803/A280304/28001200/
海老蔵,寿司・海鮮,大阪府,東大阪市,東大阪市,大阪府東大阪市寿町3-19-2,0,,美味い　豪華,https://tabelog.com/osaka/A2707/A270703/27008440/
おでん　十七八(となはち),和食・日本料理,兵庫県,姫路市,姫路市,兵庫県姫路市呉服町46,4,,お客様におごって貰った、あっさり、感動,https://tabelog.com/hyogo/A2805/A280501/28006383/
グリーンハウスシルバ,カフェ・スイーツ,兵庫県,神戸市,中央区,兵庫県神戸市中央区琴ノ緒町5-5-25,0,デート,森カフェ、とりあえず写真を見れば自然好きは気になるはず,https://tabelog.com/hyogo/A2801/A280101/28004954/
かすや　北新地店,うどん・そば,大阪府,大阪市,梅田・北新地・中之島,大阪府大阪市北区曾根崎新地1-7-6 新日本新地ビル東館 1F,0,,お客様の店,https://tabelog.com/osaka/A2701/A270101/27100904/
ぺりーのいくら丼,寿司・海鮮,大阪府,大阪市,心斎橋・難波・道頓堀,大阪府大阪市中央区東心斎橋2-2-7 タワーエステイトビル 1F,3,,いくら丼680円、うに,https://tabelog.com/osaka/A2701/A270202/27001446/
米Lab 百福 上本町店,和食・日本料理,大阪府,大阪市,天王寺・阿倍野,大阪府大阪市天王寺区石ヶ辻13-17,4,,ランチ、定食、自然食,https://tabelog.com/osaka/A2701/A270205/27120501/
グラン カフェ,カフェ・スイーツ,大阪府,大阪市,梅田・北新地・中之島,大阪府大阪市北区梅田2-2-2 ヒルトンプラザウエスト 6Ｆ,0,,食べログ百名店,https://tabelog.com/osaka/A2701/A270101/27007876/
アジアンバー・ラマイ 大阪あびこ店,カレー,大阪府,大阪市,大阪市南部,大阪府大阪市住吉区苅田7-12-5 セントラルハイツ1F,0,,美味い,https://tabelog.com/osaka/A2701/A270404/27062863/
串カツ いぬい,和食・日本料理,大阪府,大阪市,大阪市南部,大阪府大阪市平野区平野本町2-4-15,0,,,https://tabelog.com/osaka/A2701/A270405/27015677/
モッさんのべた焼 大宮店,お好み焼き・粉もん,京都府,京都市,中京区,京都府京都市中京区大宮通り四条上ル錦大宮町141,0,,,https://tabelog.com/kyoto/A2601/A260203/26036140/
吾妻,うどん・そば,大阪府,池田市,池田市,大阪府池田市西本町6-17,0,,老舗、やさしい,https://tabelog.com/osaka/A2706/A270603/27005032/
一久,ラーメン,大阪府,豊中市,豊中市,大阪府豊中市熊野町4-20-31 第２ユーロハイツ,0,,美味い,https://tabelog.com/osaka/A2706/A270601/27011483/
辨慶うどん 西京極本店,うどん・そば,京都府,京都市,右京区,京都市右京区西京極東大丸町１６ リーブル篠原,0,,美味い　甘辛,https://tabelog.com/kyoto/A2601/A260401/26001455/
手打ちうどん やまびこ 伏見店,うどん・そば,京都府,京都市,伏見区,京都府京都市伏見区肥後町375,0,,美味い,https://tabelog.com/kyoto/A2601/A260601/26005986/
つけ鴨うどん　鴨錦,うどん・そば,大阪府,大阪市,心斎橋・難波・道頓堀,大阪府大阪市浪速区恵美須東2-9-8 フレンドリー浪速1階,0,,美味い　結構どこにでもある,https://kamokin.jp/
讃岐うどん 白庵,うどん・そば,大阪府,大阪市,新大阪・十三,大阪府大阪市淀川区新高6-12-7 三和マンション 1F,0,,,https://tabelog.com/osaka/A2701/A270302/27014852/
踊るうどん 滝井本店,うどん・そば,大阪府,守口市,守口市,大阪府守口市紅屋町6-7,0,,まいたけの天ぷらが美味,https://s.tabelog.com/osaka/A2707/A270701/27004023/
すじかま,うどん・そば,兵庫県,西宮市,西宮市,兵庫県西宮市山口町船坂北山コイツカ2178-23,0,,,https://tabelog.com/hyogo/A2803/A280301/28002185/
いずみカリー 神戸元町店,カレー,兵庫県,神戸市,中央区,兵庫県神戸市中央区北長狭通3-30-76,5,,チーズが合う,https://tabelog.com/hyogo/A2801/A280101/28047150/
必死のパッチ製麺所,ラーメン,大阪府,大阪市,心斎橋・難波・道頓堀,大阪府大阪市中央区難波3-4-16 アーク難波ビル5F,4,,つけめん、あごだし,https://tabelog.com/hyogo/A2803/A280306/28035199/
だしと麺,ラーメン,兵庫県,西宮市,西宮市,兵庫県西宮市山口町上山口2丁目7-10,4,,つけめん、あごだし、必死のパッチ姉妹店,https://tabelog.com/hyogo/A2803/A280301/28043116/
島田製麺食堂,ラーメン,大阪府,豊中市,豊中市,大阪府豊中市宝山町23-11,4,,つけめん、あごだし、必死のパッチ姉妹店,https://tabelog.com/osaka/A2706/A270601/27054203/
荒波屋,ラーメン,兵庫県,三田市,三田市,兵庫県三田市駅前町4-27,4,,つけめん、あごだし、必死のパッチ姉妹店、2店舗ある,https://tabelog.com/hyogo/A2807/A280703/28054010/
吉岡マグロ節センター,ラーメン,大阪府,豊中市,豊中市,大阪府豊中市蛍池東町2-3-24,4,,つけめん、あごだし、必死のパッチ姉妹店,https://tabelog.com/osaka/A2706/A270601/27096948/
らーめん弥七,ラーメン,大阪府,大阪市,梅田・北新地・中之島,大阪府大阪市北区豊崎3-4-8,4,,つけめん美味い,https://tabelog.com/osaka/A2701/A270101/27003232/
麺dining月乃家,ラーメン,和歌山県,有田郡,有田郡,和歌山県有田郡有田川町大字天満428-1,4,,特濃が美味い、しらす丼も美味い,https://tabelog.com/wakayama/A3002/A300202/30003817/
大黒ラーメン 本店,ラーメン,京都府,京都市,伏見区,京都府京都市伏見区京町大黒町118,0,,安い　おやつにも,https://tabelog.com/kyoto/A2601/A260601/26003217/
紫川ラーメン,ラーメン,兵庫県,加東市,加東市,兵庫県加東市下滝野１丁目１０５−１,0,,美味い、甘め,https://tabelog.com/hyogo/A2804/A280403/28011421/
鶏 soba 座銀 本店,ラーメン,大阪府,大阪市,堀江・南船場,大阪府大阪市西区江戸堀1-19-2,0,,美味い,https://tabelog.com/osaka/A2701/A270102/27079112/
wad omotenashi cafe,カフェ・スイーツ,大阪府,大阪市,心斎橋・難波・道頓堀,大阪府大阪市中央区南船場4-9-3 東進ビル 2F,0,,食べログ百名店、かき氷,https://tabelog.com/osaka/A2701/A270201/27088707/
カファレル 神戸北野本,カフェ・スイーツ,兵庫県,神戸市,中央区,兵庫県神戸市中央区山本通3-7-29 神戸トアロードビル　1F,0,デート,スイーツ食べログ百名店,https://tabelog.com/hyogo/A2801/A280101/28002143/
居酒屋五感 神戸三宮,居酒屋・ダイニングバー,兵庫県,神戸市,中央区,兵庫県神戸市中央区北長狭通2-8-9 神戸17番ビル 1F,0,デート,,https://tabelog.com/hyogo/A2801/A280101/28060447/
